p-m-001,Merch,帆布袋,290,ToteBag.png,帆布袋
p-m-002,Merch,大學T,990,Crewneck.png,大學T
p-m-003,Merch,便利貼,190,StickyNote.png,便利貼
p-m-004,Merch,壓克力磚,750,AcrylicBlock.png,壓克力磚
p-m-005,Merch,刺繡老帽,890,VintageCap.png,刺繡老帽
p-m-006,Merch,應援毛巾,450,SloganTowel.png,應援毛巾
p-m-007,Merch,掛毯,690,Tapestry.png,掛毯
p-m-008,Merch,貼紙包,150,StickerPack.png,貼紙包
p-m-009,Merch,滑鼠墊,790,MouseMat.png,滑鼠墊
p-m-010,Merch,隨機壓克力立牌,350,random_AcrylicStand.png,隨機壓克力立牌
p-m-011,Merch,隨機壓克力合影框,350,random_AcrylicFrame.png,隨機壓克力合影框
p-m-012,Merch,隨機壓克力鑰匙圈,250,random_AcrylicKeychain.png,隨機壓克力鑰匙圈
p-m-013,Merch,隨機圓形徽章,150,random_Badge.png,隨機圓形徽章
p-m-014,Merch,折疊傘,790,FoldingUmbrella.png,折疊傘
p-m-015,Merch,壓克力合影框套組,1750,set_AcrylicFrame.png,壓克力合影框套組
p-m-016,Merch,壓克力鑰匙圈套組,1250,set_AcrylicKeychain.png,壓克力鑰匙圈套組
p-m-017,Merch,壓克力立牌套組,1750,set_AcrylicStand.png,壓克力立牌套組
p-m-018,Merch,徽章套組,750,set_Badge.png,徽章套組
